dataset,categoria,ferramenta,fold,tempo
dmft,Deep Learning,Auto-Keras,9,08:09
dmft,Deep Learning,Auto-Keras,10,06:43
dmft,XGBoost,H2O AutoML,1,00:37
dmft,XGBoost,H2O AutoML,2,00:37
dmft,XGBoost,H2O AutoML,3,00:32
dmft,XGBoost,H2O AutoML,4,00:34
dmft,XGBoost,H2O AutoML,5,00:33
dmft,XGBoost,H2O AutoML,6,00:31
dmft,XGBoost,H2O AutoML,7,00:34
dmft,XGBoost,H2O AutoML,8,00:37
dmft,XGBoost,H2O AutoML,9,00:31
dmft,XGBoost,H2O AutoML,10,00:32
dmft,XGBoost,Rminer,1,00:09
dmft,XGBoost,Rminer,2,00:09
dmft,XGBoost,Rminer,3,00:09
dmft,XGBoost,Rminer,4,00:09
dmft,XGBoost,Rminer,5,00:09
dmft,XGBoost,Rminer,6,00:09
dmft,XGBoost,Rminer,7,00:09
dmft,XGBoost,Rminer,8,00:09
dmft,XGBoost,Rminer,9,00:10
dmft,XGBoost,Rminer,10,00:09
cmc,Principal,H2O AutoML,1,00:56
cmc,Principal,H2O AutoML,2,00:59
cmc,Principal,H2O AutoML,3,00:58
cmc,Principal,H2O AutoML,4,01:01
cmc,Principal,H2O AutoML,5,01:00
cmc,Principal,H2O AutoML,6,00:59
cmc,Principal,H2O AutoML,7,01:01
cmc,Principal,H2O AutoML,8,00:58
cmc,Principal,H2O AutoML,9,01:00
cmc,Principal,H2O AutoML,10,00:56
cmc,Principal,AutoGluon,1,01:39
cmc,Principal,AutoGluon,2,01:38
cmc,Principal,AutoGluon,3,01:33
cmc,Principal,AutoGluon,4,01:42
cmc,Principal,AutoGluon,5,01:35
cmc,Principal,AutoGluon,6,01:29
cmc,Principal,AutoGluon,7,01:29
cmc,Principal,AutoGluon,8,01:26
cmc,Principal,AutoGluon,9,01:32
cmc,Principal,AutoGluon,10,01:37
cmc,Principal,AutoSklearn,1,60:00
cmc,Principal,AutoSklearn,2,60:00
cmc,Principal,AutoSklearn,3,60:00
cmc,Principal,AutoSklearn,4,60:00
cmc,Principal,AutoSklearn,5,60:00
cmc,Principal,AutoSklearn,6,60:00
cmc,Principal,AutoSklearn,7,60:00
cmc,Principal,AutoSklearn,8,60:00
cmc,Principal,AutoSklearn,9,60:00
cmc,Principal,AutoSklearn,10,60:00
cmc,Principal,TPOT,1,15:51
cmc,Principal,TPOT,2,18:29
cmc,Principal,TPOT,3,12:37
cmc,Principal,TPOT,4,12:19
cmc,Principal,TPOT,5,11:31
cmc,Principal,TPOT,6,04:54
cmc,Principal,TPOT,7,02:15
cmc,Principal,TPOT,8,06:07
cmc,Principal,TPOT,9,07:19
cmc,Principal,TPOT,10,07:19
cmc,Principal,Rminer,1,03:46
cmc,Principal,Rminer,2,03:43
cmc,Principal,Rminer,3,03:53
cmc,Principal,Rminer,4,03:47
cmc,Principal,Rminer,5,03:36
cmc,Principal,Rminer,6,04:16
cmc,Principal,Rminer,7,03:45
cmc,Principal,Rminer,8,03:46
cmc,Principal,Rminer,9,03:53
cmc,Principal,Rminer,10,04:00
cmc,Principal,TransmogrifAI,1,02:57
cmc,Principal,TransmogrifAI,2,02:28
cmc,Principal,TransmogrifAI,3,02:24
cmc,Principal,TransmogrifAI,4,02:15
cmc,Principal,TransmogrifAI,5,02:23
cmc,Principal,TransmogrifAI,6,02:27
cmc,Principal,TransmogrifAI,7,02:26
cmc,Principal,TransmogrifAI,8,02:16
cmc,Principal,TransmogrifAI,9,02:18
cmc,Principal,TransmogrifAI,10,02:18
cmc,Deep Learning,H2O AutoML,1,60:00
cmc,Deep Learning,H2O AutoML,2,60:00
cmc,Deep Learning,H2O AutoML,3,60:00
cmc,Deep Learning,H2O AutoML,4,60:00
cmc,Deep Learning,H2O AutoML,5,60:00
cmc,Deep Learning,H2O AutoML,6,60:00
cmc,Deep Learning,H2O AutoML,7,60:00
cmc,Deep Learning,H2O AutoML,8,60:00
cmc,Deep Learning,H2O AutoML,9,60:00
cmc,Deep Learning,H2O AutoML,10,60:00
